problem,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99
f3_i1,0.19272155,-0.27170143,0.22370695,-0.2540788,-0.29645872,0.23024538,-0.15311779,-0.24324201,0.1471711,-0.21813376,0.2562129,-0.24699043,0.17542177,-0.2743831,0.26516283,-0.18042079,-0.24349731,0.14664853,0.04749165,0.14795241,-0.12123321,-0.23868564,-0.090630606,0.26796004,-0.18257396,0.29890433,0.08440957,0.18005848,0.17865324,0.21438995,0.18273969,-0.1665935,0.26104262,0.17296103,0.22682182,0.27119663,0.04651397,0.20385352,0.13763271,-0.2290701,-0.13030057,0.24205106,0.27494264,-0.08152017,0.20196201,0.20870762,0.28656572,0.15311226,-0.25253284,0.18094636,-0.1746022,0.14762095,-0.014654145,0.16962193,0.2354128,0.12888265,-0.20259437,-0.09313757,-0.15815932,-0.14300384,0.11800244,0.20736523,-0.18352361,-0.1635531,-0.11134507,-0.18510234,-0.1375037,0.17943053,-0.18620466,0.17566541,0.21157952,0.08101815,-0.04863764,-0.12156272,-0.1414629,0.15644965,0.21931264,-0.18692969,-0.2573363,0.18423402,-0.11120904,-0.23600458,0.08976716,-0.22993957,0.28628543,-0.20486335,-0.18168502,0.20091438,-0.18293084,0.025980255,-0.100395255,0.17678729,-0.10831388,0.091256574,0.091633305,-0.1777974,-0.1840792,0.24591032,0.23401423,0.05147302
f3_i2,0.15086658,-0.26582488,0.1769397,-0.25458,-0.17151578,0.101984434,-0.26477364,-0.22685996,0.15024464,-0.26641008,0.202564,-0.15640852,0.1678243,-0.20466304,0.21593541,-0.1531349,-0.2801339,0.13462764,-0.24654475,0.19726022,-0.10609857,-0.009304871,-0.13526781,0.21462269,-0.27389,0.2609284,0.085625455,0.18914998,0.20956415,0.21213707,0.23804699,-0.26007357,0.122356944,0.15544692,0.095510125,0.19626787,0.21628241,0.25301287,0.0674389,-0.14962913,-0.20733629,0.20884794,0.14624968,-0.18903542,0.1227628,0.3067604,0.110544294,0.11311051,-0.18921815,0.10612938,-0.23150411,0.19120185,0.194256,0.09681647,0.20947434,0.25772306,-0.30345884,-0.07911894,-0.2142999,-0.06652161,0.17139255,0.18864034,-0.1747079,-0.3056951,-0.25978205,-0.18793966,-0.2868779,0.1921265,-0.13699098,0.18438628,0.09159328,0.25446084,-0.008841494,-0.09373337,-0.23802783,0.10368628,0.11966856,-0.13941987,-0.25110134,0.1903144,0.001700423,-0.24227463,0.14889263,-0.21695141,0.20570467,-0.17953062,-0.17081214,0.21622092,-0.25156406,0.28482866,-0.19330418,0.122098796,-0.03294481,0.23835717,0.21955745,-0.19903402,-0.29824254,0.17096144,0.22657527,0.27691427
f3_i3,0.1945125,-0.22163586,0.06592577,-0.28861302,-0.23654857,0.18584478,-0.28720427,-0.21256438,0.23568231,-0.21279036,0.21794488,-0.1799054,0.19903077,-0.16190712,0.27309403,-0.19560906,-0.15488574,0.22613339,-0.24993558,0.089452825,-0.1307025,-0.0050383173,-0.110592626,0.2570506,-0.22927202,0.30565926,0.10966227,0.13044226,0.32072788,0.21387774,0.2784714,-0.1429393,0.16077043,0.07209396,0.18815021,0.22477408,0.118583515,0.2263701,0.1640602,-0.27790478,-0.23208474,0.19622366,0.26890376,-0.11246826,0.26421207,0.14008713,0.17092513,0.20242077,-0.23290403,0.14450333,-0.20230803,0.17582928,0.19595006,0.0027455415,0.29359972,0.20235313,-0.19464426,-0.13635167,-0.22068517,-0.10387241,0.2747767,0.20900202,-0.27357024,-0.17137793,-0.1240633,-0.2099641,-0.2551826,0.08748864,-0.12217646,0.31453446,0.19421233,0.24945822,-0.10119076,-0.05510116,-0.1906277,0.12270707,0.2627196,-0.08201396,-0.1787677,0.21491133,-0.22066875,-0.16503757,0.101174824,-0.1290515,0.09576691,-0.23020427,-0.24801518,0.15132134,-0.18224262,-0.06152898,-0.22374067,0.14324625,-0.0049484265,0.23142996,0.16051951,-0.17866257,-0.20991167,0.28337446,0.22535774,0.2784755
f3_i4,0.13554819,-0.13400167,0.113950856,-0.1025431,-0.101157896,0.2018049,-0.3026094,-0.18236937,0.14397542,-0.11852496,0.16716579,-0.20648345,0.13154885,-0.17678136,0.19615087,-0.19379076,-0.27028316,0.20010763,0.05646098,0.23077688,-0.19301756,-0.17296457,-0.26957458,0.25222522,-0.150548,0.2609831,0.0832735,0.1903005,0.2823631,0.26776472,0.25692347,-0.2176158,0.056991715,0.002491667,0.28672153,0.075381,0.2176066,0.2504028,0.07947621,-0.26139295,-0.20996001,0.12865894,0.20881666,-0.12724075,0.27239543,0.18028359,0.13506463,0.13426591,-0.20526648,0.16231939,-0.18440802,0.2656816,0.2663132,0.21207881,0.2156283,0.16950953,-0.24475163,-0.17908207,-0.24891031,0.19011635,0.12485355,0.24398911,-0.25374404,-0.27985686,-0.3020621,-0.2623248,-0.24939603,-0.12127791,-0.18948397,0.22013423,0.19079348,0.17588192,0.04531858,-0.11117356,-0.22485517,0.16669297,0.22703457,-0.16716862,-0.2127284,0.15582645,0.12934716,-0.16494863,-0.08225419,-0.2254654,0.21316601,-0.2048016,-0.12570374,0.22414751,-0.14822921,-0.13855892,-0.16916947,0.1802501,0.02655224,0.15817025,0.1587052,-0.099840626,-0.20109007,0.3022589,0.30422154,0.1475106
f3_i5,0.23326296,-0.19366024,0.081737734,-0.20700599,-0.26860863,0.09024461,-0.21498202,-0.1343509,0.15735887,-0.18644711,0.24032164,-0.20886758,0.14981672,-0.15433617,0.2493865,-0.24627934,-0.20604444,0.11570174,0.022456719,0.17620653,-0.15029584,-0.20857616,-0.27502018,0.15714514,-0.15447949,0.13383642,0.09034415,0.14142546,0.18976733,0.18141536,0.22906321,-0.2115175,0.20021993,0.25373656,0.27238327,0.21801569,0.21264906,0.21372953,0.07861708,-0.22108248,-0.22436152,0.19309439,0.25012174,-0.21238585,0.10062232,0.21943039,0.26708454,0.2158454,-0.1745666,0.09801443,-0.27093372,0.26128381,0.06465442,0.23182112,0.18029028,0.23209168,-0.13095163,-0.20801124,-0.20001864,0.005678334,0.115423016,0.17025496,-0.2485651,-0.15218343,-0.123957455,-0.14852722,-0.20816028,0.08007002,-0.29197133,0.20995075,0.117802516,0.2430278,-0.22460829,-0.13829547,-0.15209325,0.3026548,0.2577341,-0.2553929,-0.14034244,0.12585258,-0.04264288,-0.23325267,0.115204744,-0.17368671,0.14772294,-0.15672289,-0.15102358,0.22071235,-0.18816939,-0.047492206,-0.13206439,0.24393371,0.07716798,0.14841169,0.19827808,-0.20770432,-0.20988075,0.21892506,0.16523005,0.2495092
f4_i1,0.19628732,-0.23789954,0.21314962,-0.13509974,-0.2064388,0.22870272,-0.23466752,-0.28523788,0.22260669,-0.13225247,0.22709057,-0.25277525,0.25692943,-0.23086007,0.19155398,-0.212144,-0.2073533,0.12962027,-0.0440487,0.21315823,-0.22130542,-0.09998949,-0.19683863,0.2672575,-0.23940235,0.29744264,0.05462042,0.17359394,0.32003585,0.17338705,0.25476387,-0.17853132,0.113632984,0.16041297,0.20751624,0.12673934,0.103936136,0.11903094,0.17919013,-0.24120131,-0.22432652,0.2716693,0.20985675,-0.270387,0.15663762,0.29321468,0.26101807,0.21836625,-0.19556832,0.055986,-0.13892794,0.15814115,0.16600166,0.22499973,0.261932,0.26441896,-0.24487527,-0.09729571,-0.1428462,-0.03388359,0.06202683,0.23671733,-0.28413853,-0.11020386,-0.2268266,-0.19052576,-0.2161173,0.32064915,-0.25124276,0.22262713,0.1797599,0.25884667,0.19236526,-0.028925253,-0.22920604,0.17309691,0.23378825,-0.1772182,-0.08577778,0.08312756,-0.27179673,-0.22848701,-0.030178418,-0.19438305,0.14318812,-0.16906917,-0.17393981,0.1838896,-0.21623726,-0.15736702,-0.16183865,0.19359317,0.27415302,0.0667872,0.19133516,-0.15267314,-0.18216194,0.20845968,0.22335309,0.14511485
f4_i2,0.16629034,-0.19700672,0.20035456,-0.18555969,-0.30740356,0.18084832,-0.2646238,-0.17516188,0.16318423,-0.18166721,0.123233765,-0.16852637,0.24971569,-0.22393507,0.1918293,-0.19620591,-0.23638962,0.1929071,-0.15676333,0.248531,-0.22309518,-0.24648556,-0.13452885,0.2034334,-0.19981438,0.10018342,0.050156713,0.16060776,0.11707927,0.2330311,0.19780035,-0.29586473,0.23316962,0.14774533,0.2087698,0.2075836,0.19887537,0.1873251,0.21076187,-0.20131992,-0.24868837,0.21930137,0.2679366,-0.20537986,0.1770214,0.2463783,0.22048385,0.2017233,-0.28865346,0.1885727,-0.15710777,0.079556964,0.0358832,0.32520685,0.1709286,0.22535902,-0.2136524,-0.2029727,-0.13802427,0.018484337,0.22127149,0.23730548,-0.16862614,-0.12848833,-0.2337448,-0.20565362,-0.21270198,0.055391006,-0.18341534,0.16901979,0.18263066,0.23341715,0.035616152,-0.15676817,-0.17899725,0.3367217,0.21525402,-0.21054132,-0.20320944,0.08175859,0.16912594,-0.2626385,0.10726845,-0.18028498,0.15321787,-0.11406514,-0.21446747,0.19097273,-0.2367413,0.15438344,-0.15564397,0.21118638,0.11297911,0.08209984,0.19393352,-0.1646993,-0.18149655,0.2137024,0.20352933,0.17020293
f4_i3,0.10875363,-0.19849981,0.14014104,-0.13816568,-0.25673655,0.15245138,-0.25971276,-0.11725959,0.12685145,-0.26064444,0.24506988,-0.12190385,0.1359969,-0.21518299,0.13756087,-0.23102306,-0.2580654,0.18134339,-0.29574087,0.20581858,-0.21597788,-0.15930411,-0.18125378,0.103544734,-0.17114663,0.10779406,0.042942367,0.20959236,0.07640842,0.24426574,0.18991116,-0.24859545,0.19693834,-0.11737642,0.14265501,0.18279478,0.22973868,0.16137609,0.06603595,-0.14152904,-0.20445624,0.22006647,0.23278667,-0.19170994,0.136964,0.2192792,0.18736273,0.086130954,-0.14430514,0.09306176,-0.26280418,0.2511117,0.07443435,0.15714923,0.17683357,0.2507033,-0.15146662,-0.15366198,-0.15882827,-0.027256977,0.17173734,0.27635685,-0.27863747,-0.17781647,-0.23117895,-0.21740331,-0.14321348,0.16259721,-0.1898137,0.22373058,0.09004475,0.14575385,0.13949843,-0.3718774,-0.23322156,0.32289973,0.23504105,-0.11824406,-0.16682296,0.18686624,0.029155627,-0.13980739,0.11257944,-0.16197652,0.21199328,-0.18971892,-0.114894435,0.1346963,-0.18719782,-0.21537377,-0.20832027,0.2041247,0.053031664,-0.017566778,0.14597355,-0.08915147,-0.290256,0.2571094,0.15660131,0.19255239
f4_i4,0.27628195,-0.090474375,0.16844712,-0.11433755,-0.2179014,0.10711233,-0.22576346,-0.16295084,0.237666,-0.26161605,0.15223822,-0.21647434,0.17500788,-0.18824075,0.23528479,-0.20714219,-0.19056351,0.21496478,-0.07727952,0.22923641,-0.2672199,-0.20779589,-0.1746283,0.18256745,-0.29802454,0.23779124,0.31614876,0.18481706,0.195091,0.18837844,0.18180692,-0.29726383,0.21223375,0.08161351,0.2133434,0.16554119,0.122312434,0.2450005,0.2552525,-0.2328627,-0.22689752,0.20132741,0.20096955,-0.2264536,0.2276352,0.2437398,0.23046784,0.16514638,-0.18498686,0.18674697,-0.22016175,0.30021402,0.09149592,0.31762183,0.28215873,0.12042577,-0.23650709,-0.14809187,-0.26612628,-0.07051597,0.22359367,0.2194251,-0.33998343,-0.15866908,-0.13263711,-0.15584177,-0.2939769,0.27602768,-0.27560574,0.23241526,0.047924437,0.18089323,-0.15735145,-0.21617866,-0.19271612,0.21389243,0.23449177,-0.21732226,-0.17272319,0.16107136,0.08479882,-0.21063541,-0.16276722,-0.24611585,0.26115367,-0.1533753,-0.2448995,0.12665518,-0.18058243,0.10424348,-0.19999674,0.23651506,0.15253186,0.15891716,0.18707967,-0.21632765,-0.19354118,0.24250333,0.11738107,0.18582667
f4_i5,0.08708307,-0.17490621,0.15261123,-0.2863274,-0.20132944,0.094522245,-0.20856148,-0.21185802,0.1353513,-0.2730001,0.1792687,-0.19734418,0.23357502,-0.15373823,0.2784953,-0.113802336,-0.31332287,0.23306839,-0.26003814,0.05377437,-0.19550593,-0.16581108,-0.31036082,0.25224236,-0.17545575,0.15848891,0.07361564,0.18203302,0.20955387,0.18716313,0.25931513,-0.18904315,0.13651927,0.050061144,0.20126589,0.2339909,0.18545052,0.21839537,0.09023586,-0.19032271,-0.16074952,0.23963201,0.19864179,-0.16297401,0.22064486,0.2583846,0.2150359,0.25783423,-0.17076658,0.19755049,-0.17596115,0.25840074,0.098490596,0.18628667,0.24527165,0.1373355,-0.21006244,-0.16189069,-0.1510993,-0.10367022,0.1504093,0.24312028,-0.22142483,-0.18932733,-0.17782643,-0.21392563,-0.21657105,0.18343188,-0.15770102,0.24764411,0.09352342,0.1448889,-0.04004272,-0.01805993,-0.14806736,0.15032855,0.21943498,-0.15508561,-0.19213471,0.15466753,-0.23151559,-0.18276133,0.06383034,-0.21156341,0.21139415,-0.20342955,-0.11297639,0.18904828,-0.13931316,-0.17911226,-0.16155271,0.25433984,0.24990141,0.14190967,0.18155335,-0.1322251,-0.2675892,0.09509922,0.16597696,0.14703646
