conf,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8,c_9,c_10,c_11,c_12,c_13,c_14,c_15,c_16,c_17,c_18,c_19,c_20,c_21,c_22,c_23,c_24,c_25,c_26,c_27,c_28,c_29,c_30,c_31,c_32,c_33,c_34,c_35,c_36,c_37,c_38,c_39,c_40,c_41,c_42,c_43,c_44,c_45,c_46,c_47,c_48,c_49,c_50,c_51,c_52,c_53,c_54,c_55,c_56,c_57,c_58,c_59,c_60,c_61,c_62,c_63,c_64,c_65,c_66,c_67,c_68,c_69,c_70,c_71,c_72,c_73,c_74,c_75,c_76,c_77,c_78,c_79,c_80,c_81,c_82,c_83,c_84,c_85,c_86,c_87,c_88,c_89,c_90,c_91,c_92,c_93,c_94,c_95,c_96,c_97,c_98,c_99
conf_10,-0.12723091,-0.11159398,0.1557999,0.09509601,0.10307512,0.045191802,0.20185025,0.19652782,-0.24109115,0.05764473,0.068379074,0.25146016,-0.2029209,0.12868969,-0.13793945,0.1324888,-0.121182114,0.10126335,-0.11789864,0.089441255,-0.09167712,-0.1229403,0.083671354,-0.144104,0.11535139,0.19267224,-0.17398089,-0.24964714,-0.1574163,0.1014383,0.030364495,-0.19223636,0.037243295,0.1586462,-0.012674686,-0.16099365,-0.21378398,-0.13605013,-0.20061666,0.18820636,-0.071703166,-0.13680743,-0.2311822,-0.14446555,-0.16462676,-0.22179897,-0.11552103,0.09273935,0.15325421,0.17872117,0.18876404,0.026477378,-0.065986745,-0.20813341,-0.070906356,0.20368525,0.2459524,0.13219537,-0.13614003,0.07189987,-0.12121527,-0.20489402,-0.15848404,-0.16603112,0.18984665,-0.2124638,0.14537895,0.09111746,-0.20383634,0.21349445,-0.11092508,0.085841775,-0.13798076,-0.20667216,0.15266044,-0.123758756,-0.18373384,0.1508343,0.17917937,0.2366454,0.17991248,0.061986346,-0.0399128,0.1274082,0.11210977,0.17104578,-0.1105936,-0.15329392,-0.19173872,-0.18579276,0.05792503,-0.25747272,-0.18632604,0.08108533,0.11544845,-0.18908972,-0.20228374,0.09390494,-0.13061482,-0.25780165
conf_11,-0.036037106,-0.10868518,0.0032935147,0.007199639,0.17179959,0.06778459,0.10839411,0.16210862,-0.14066303,-0.04259583,0.053275842,0.15460078,-0.09353153,0.070641294,-0.24124038,0.23949857,0.0021160112,0.11079108,-0.11630841,-0.116170935,-0.00700998,-0.09811729,0.20733435,-0.09786256,0.14924864,0.04607851,-0.13853021,-0.1593844,-0.15792747,0.04222407,0.10771255,-0.16605566,-0.12303784,0.26331112,-0.17398036,-0.08686759,-0.14559996,-0.17216867,-0.15055837,0.20638466,-0.08135507,-0.13904653,-0.07828482,-0.1537362,-0.13374044,-0.09760938,-0.09536471,0.07461606,0.28524977,0.11440806,0.08706115,0.18228465,0.0667291,-0.0817127,-0.15406905,0.0744988,0.24396212,0.12759498,-0.10664684,0.06912913,-0.19262487,-0.11291608,-0.16407709,-0.09727953,0.1469316,-0.12007628,0.17572618,0.12932196,-0.023961136,0.12902871,-0.12830576,-0.269209,0.10486292,-0.14883159,0.1301131,0.032041043,-0.15320852,-0.019860666,0.1880968,0.06678879,0.06946232,-0.10761835,-0.121365085,0.11690075,0.14121008,0.16566537,-0.09416478,-0.14311913,0.02109322,-0.17428651,0.11667977,-0.19606069,-0.18214254,0.1149104,0.07015011,-0.13632272,-0.16347505,0.087736726,-0.10662454,0.011686327
conf_12,-0.18207857,-0.10193623,0.13436696,0.23675802,0.2000064,0.085625134,0.13391486,0.0948537,-0.17318545,-0.042545777,0.12145196,0.12411654,-0.23549147,0.16257516,-0.15278222,0.13835119,-0.21059239,0.05573018,-0.12947747,0.16662733,-0.15674508,-0.12411748,0.080168754,-0.14409432,0.16851997,0.12508823,-0.12724659,-0.10735089,-0.15781182,0.016709993,0.12709977,-0.1555541,0.1291196,0.1387688,-0.13010515,-0.23952655,-0.15271164,-0.19600298,-0.2675565,0.14898539,-0.1968622,-0.2296174,-0.25801718,-0.13497892,-0.26283228,-0.19200191,-0.20736106,0.067788795,0.27206898,0.170288,0.22712986,0.14997345,-0.0020916087,-0.23773143,-0.24164231,0.21573941,0.22843233,0.085842356,-0.19648229,0.20741086,-0.15625562,-0.15305954,-0.17804568,-0.19668962,0.15876503,-0.1438056,0.23460588,0.16461979,-0.031773258,0.2111269,-0.13670605,0.055933733,-0.09387583,-0.20073235,0.24118684,-0.16175978,-0.229114,0.11157572,0.10105282,0.14930005,0.14198302,-0.17066294,-0.10176705,0.21148624,0.13105464,0.19379382,-0.121446595,-0.14261866,-0.086843364,-0.18847016,0.15638427,-0.04246302,-0.21588022,0.092711695,0.11685893,-0.18261094,-0.18984513,0.27042496,-0.1647694,-0.18539765
conf_13,-0.103294805,-0.12681751,0.07251927,0.029570417,0.09253802,0.03328063,0.22721092,0.1675918,-0.14629535,-0.102741905,0.13997644,0.12237378,-0.19859758,0.19025262,-0.21341263,0.12507464,-0.016753407,-0.07438009,-0.13409005,0.10006569,-0.009222244,-0.19447519,0.025903149,-0.05716209,0.08444108,0.12230928,-0.12473185,-0.21197827,-0.18352716,0.13914531,0.0873992,-0.09237588,0.04204641,0.07582245,-0.14627935,-0.17168708,-0.09966906,-0.09570669,-0.13421828,0.14714003,-0.1193066,-0.101059645,-0.15820028,-0.13496226,-0.079325244,-0.14118801,-0.11184453,0.07197351,0.114288986,0.12654828,0.12310361,0.09394469,-0.1132504,-0.18127486,-0.17847358,0.17700194,0.16541484,0.08734706,-0.058138855,0.16024892,-0.16938883,-0.22215575,-0.061151847,-0.10288827,0.1646072,-0.005535976,0.15931353,0.1354017,-0.038891256,0.0738035,-0.05372447,-0.11660296,-0.06676599,-0.22577171,0.18014692,-0.19434132,-0.23798779,0.0897535,0.09559712,0.12878221,0.032346226,0.016698383,-0.19762185,0.1528282,0.10971485,0.18487313,-0.10761419,-0.12152433,-0.02186519,-0.15959023,0.17365813,-0.14395465,-0.120954156,0.10752025,0.22621608,-0.17644864,-0.22152776,0.19237767,-0.15185747,-0.005253765
conf_14,-0.25451964,-0.1912915,0.09445895,0.07951111,0.098769434,0.034502458,0.12238212,0.14640726,-0.17326853,-0.049090136,0.06490554,0.25289157,-0.15485369,0.16878793,-0.21243109,0.11712194,-0.07819615,0.16043764,-0.15307587,0.041171864,-0.01498764,-0.19202527,0.2535165,-0.19853996,0.1072293,0.15783606,-0.2582571,-0.1285158,-0.10689432,0.036928497,0.02440852,-0.20605676,0.13687724,0.034411203,-0.17177294,-0.20726952,-0.1993809,-0.18539482,-0.123623155,0.08704995,-0.07969543,-0.23711833,-0.22379427,-0.14281403,-0.18425263,-0.17195572,-0.17077324,0.12178118,0.18584852,0.1174458,0.29187977,0.14760795,-0.09891315,-0.19145763,-0.18717985,0.16615178,0.21886192,0.13717864,-0.20977388,0.08350539,-0.19162256,-0.25097045,-0.056900747,-0.15691932,0.22395901,-0.18573347,0.12936278,0.14847463,-0.017767088,0.2253596,-0.20597142,-0.1329035,-0.094031036,-0.1085094,0.23224933,-0.12568823,-0.14717922,0.13741295,0.16992426,0.14639546,0.18269332,-0.07919721,-0.17034784,0.22094133,0.11535513,0.096104406,-0.14394929,-0.18850115,-0.20382005,-0.16139835,0.11501628,-0.11413548,-0.17701608,0.035880804,0.14180069,-0.20574553,-0.18629235,0.05052217,-0.13715528,-0.16341543
conf_15,-0.08073479,-0.17903374,-0.013850432,-0.04832667,0.17181252,0.04642141,0.06373359,0.12204474,-0.17583162,-0.15905772,0.06778873,0.14153014,-0.09039315,0.09423186,-0.14691666,0.14361022,0.08236427,-0.17719881,-0.19666126,-0.011594645,0.085317194,-0.12650596,0.16537103,-0.047639836,0.13674174,0.08844302,-0.16773267,-0.17620344,-0.09328008,0.075097926,0.10721934,-0.16665307,0.03144236,0.14411855,-0.1887066,-0.13780423,-0.10308052,-0.08895604,-0.1578976,0.1713187,-0.013299837,-0.20738415,-0.15170193,-0.082588434,-0.10156347,-0.13638622,-0.14742449,0.14419042,0.21830156,0.09882132,0.15934515,0.12003292,-0.051923826,-0.08051843,-0.12716155,0.058612317,0.16334823,0.14820145,0.01031894,0.13460657,-0.15117256,-0.15911736,0.02911579,-0.16027486,0.20934513,-0.22646725,0.16319676,0.14759393,0.016013702,0.02805576,-0.14762299,-0.163773,-0.11044884,-0.16307355,0.20313844,0.015194072,-0.13818462,0.122243665,0.14376965,0.15301853,0.053473093,-0.045819998,-0.08403577,0.15120356,0.08242311,0.10239188,-0.10787301,-0.08621027,-0.0038014965,-0.08504492,0.1257519,-0.14769696,-0.17635046,0.014142811,0.09797049,-0.17444664,-0.1270912,0.069806844,-0.11033896,-0.12876807
conf_16,-0.09895107,-0.11368359,0.014609766,0.05063472,0.12631485,0.07134881,0.16659679,0.15031043,-0.19615403,-0.03184134,0.0776457,0.107166976,-0.15250105,0.1447436,-0.25952557,0.15318595,-0.086138375,0.06300999,-0.1816927,0.04018924,0.07685806,-0.08532064,0.2014725,-0.099287204,0.17557412,0.06214444,-0.12656137,-0.18741854,-0.12634222,0.048373904,0.0409281,-0.10833293,0.05690718,0.16882487,-0.11769364,-0.08260455,-0.16688265,-0.1904533,-0.13034295,0.020585535,-0.06979732,-0.20027338,-0.22186601,-0.14636761,-0.10832964,-0.22390413,-0.19248877,0.030736998,0.16759734,0.108208925,0.10616835,0.17222446,0.062231477,-0.22741681,-0.13658103,0.11922448,0.13924247,0.021479644,-0.06204022,0.1334062,-0.1490981,-0.11496842,-0.123034075,-0.22487442,0.13639338,-0.14833798,0.19373383,0.036470525,-0.006405731,0.15071072,-0.12502702,-0.00684327,0.049873587,-0.20541577,0.16045816,-0.1483224,-0.16122964,0.108734354,0.13348278,0.14578064,0.17450917,-0.05211324,-0.1121679,0.18929222,0.051080387,0.0877943,-0.04749945,-0.04539449,-0.044422314,-0.24890663,0.14459978,-0.117213495,-0.18106845,0.080660835,0.16875242,-0.123543896,-0.10631803,0.18526094,-0.20715497,-0.1449742
conf_17,-0.1291044,-0.08013296,0.057194836,-0.0055007236,0.2660988,0.16277725,0.076496206,0.12041173,-0.07962698,-0.01472241,0.019407446,0.13632269,-0.1194612,0.12020309,-0.17745556,0.109698616,0.11005204,-0.05690686,-0.09109447,-0.09862275,-0.08540871,-0.059873898,0.030476095,-0.1664861,0.06139276,0.19900921,-0.17923617,-0.072238065,-0.08850613,0.052383788,0.0315144,-0.09175423,0.027872289,0.19156787,0.030757489,-0.16300823,-0.08639669,-0.14663032,-0.11122717,0.13120706,0.004859577,-0.1998503,-0.17708062,-0.03273065,-0.03641358,-0.19276406,-0.19468263,0.13304114,0.19190918,0.15899946,0.1604204,0.02975618,-0.1281662,-0.15937932,-0.16590206,0.06945027,0.21969154,0.19163609,-0.06497562,0.21684706,-0.12227954,-0.121295385,-0.086380735,-0.16533943,0.11901643,-0.22151607,0.1304991,0.09029057,-0.04928094,0.06684626,-0.13984002,-0.1712664,-0.12924202,-0.17536247,0.24134511,-0.11302204,-0.18535343,0.14080912,0.16887406,0.14364792,0.07750774,-0.04382494,-0.089707285,0.11746557,0.16528192,0.105280206,-0.09320854,-0.0903871,-0.044150863,-0.062125966,0.03221438,-0.21513063,-0.11744049,0.053987246,0.073417574,-0.13842255,-0.103670426,0.11589337,-0.21240185,-0.20245941
conf_18,-0.22006777,-0.1866773,0.182863,0.2093299,0.10599758,0.11210242,0.16928081,0.18125413,-0.19246045,-0.20253664,0.2107467,0.22083145,-0.21882056,0.120221056,-0.16885263,0.27965236,-0.07870273,0.07344388,-0.1329058,0.053147357,-0.027336854,-0.10446655,0.09684773,-0.15984929,0.1358735,0.06655977,-0.15976445,-0.11428106,-0.2354086,0.11438726,0.14409055,-0.15881848,0.11975129,0.20242856,-0.035381526,-0.1468196,-0.17928067,-0.0816968,-0.16999242,0.15420422,-0.12614374,-0.25146887,-0.15827079,-0.1280877,-0.23889233,-0.13850226,-0.17527892,0.15537389,0.1209188,0.14955813,0.17381701,0.12862568,0.10029236,-0.14023599,-0.20952106,0.13069631,0.1827366,0.14706907,-0.09429473,0.10315041,-0.2538697,-0.058518346,-0.12855598,-0.18702906,0.23088557,-0.12929453,0.14787483,0.18019141,0.007202846,0.19794777,-0.09941117,-0.050693005,-0.18140401,-0.08906472,0.13901545,-0.1850059,-0.23463319,0.15847683,0.07615276,0.21325636,0.19772002,-0.13063501,-0.08956892,0.17040819,0.1840378,0.10368318,-0.18673134,-0.26167125,-0.14296938,-0.18904074,0.1275853,-0.13318656,-0.15306579,0.11995867,0.04337597,-0.1463545,-0.09723934,0.21939076,-0.16526708,-0.19393077
conf_19,-0.25211698,-0.20235384,0.2080307,-0.083797656,0.17027125,0.060161453,0.13598137,0.18965083,-0.20097612,-0.089469306,0.17806308,0.12839015,-0.2539265,0.24651076,-0.24824351,0.15352926,-0.17639658,0.10285105,-0.17150803,0.16132405,-0.1294716,-0.25936615,0.14847204,-0.17670701,0.185545,0.15318546,-0.26482132,-0.16512053,-0.22976685,0.1362895,0.04907355,-0.18282828,0.1700876,0.22224258,-0.15174715,-0.13214642,-0.107549585,-0.14833905,-0.13579422,0.09538863,-0.13615225,-0.19374526,-0.27293515,-0.123878196,-0.14127254,-0.26535085,-0.18888906,0.16708638,0.07050285,0.1827147,0.25034472,0.25889164,-0.03907017,-0.1863158,-0.16992578,0.11841662,0.2203264,0.13841663,-0.19625169,0.17054488,-0.16790505,-0.22881243,-0.093423374,-0.09040426,0.15799378,-0.0889763,0.22330743,0.15295547,-0.14382629,0.2652305,-0.19979505,-0.07694025,-0.09453062,-0.1419126,0.15221305,-0.2556199,-0.1945238,0.1395018,0.11087859,0.22129698,0.1832709,-0.05763597,-0.20860595,0.2457532,0.20982417,0.13046902,-0.12744886,-0.21908666,-0.10731726,-0.26531553,0.1513514,-0.18640974,-0.15791638,0.06272825,0.16762578,-0.2101427,-0.25769037,0.10538193,-0.2080136,-0.15792535
