problem,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99
f3_i1,0.14677317,-0.39471838,0.34816357,-0.33544764,-0.29158098,0.40721065,-0.16924536,-0.28479087,0.13307033,-0.20196854,0.34959704,-0.27290553,0.25089082,-0.27369592,0.27154225,-0.22247154,-0.30088636,0.1436765,-0.03258648,0.13293181,-0.17632698,-0.6262068,0.2863131,0.3444886,-0.14250581,0.2590483,0.14148058,0.19569509,0.18868503,0.25124913,0.1985835,-0.22806975,0.02254318,0.37843814,0.21892177,0.36249903,-0.23118982,-0.22097592,0.2228021,-0.26767018,-0.09556741,0.351261,0.30400574,-0.0071721147,0.23383784,0.23658134,0.40141132,-0.037532356,-0.4707418,0.43088332,-0.21734305,0.12260594,-0.104872905,0.13606754,0.28721666,0.054054644,-0.24800591,-0.0923839,-0.17413415,-0.7229993,-0.0051403586,0.23481932,-0.1933539,-0.25764185,-0.09953334,-0.24015683,-0.080624804,0.24537118,-0.23375508,0.2663931,0.1284958,-0.077895164,0.4259931,-0.07781169,-0.14941171,0.25320867,0.19832423,-0.21878834,-0.23448725,0.101123825,-0.13624638,-0.20940118,-0.12658203,-0.20333873,0.3403906,-0.21849573,-0.23370051,0.40837786,-0.19965538,-0.057035528,-0.18524046,0.1455443,0.07555121,-0.043813206,0.06932048,-0.22530292,-0.30579507,0.3469208,-0.032832906,0.017057946
f3_i2,0.09402878,-0.19453639,-0.1317116,-0.28052625,-0.11544258,0.07903226,-0.23851183,-0.22258136,0.053572115,-0.3590124,0.31784305,-0.1319835,0.32017726,-0.16883564,0.217499,-0.20020698,-0.20810457,0.12084903,-0.5757817,0.09226636,-0.19611014,-0.14958581,-0.4135451,0.2148645,-0.26354313,0.09885321,0.34599814,0.2252394,0.28575575,0.2721839,0.00034174786,-0.28356618,0.2991256,0.37146473,-0.032213308,0.20854478,0.8157157,0.070057206,0.08474031,-0.124163136,-0.24272619,0.24177475,0.07090244,-0.265971,0.14525871,0.6096104,-0.04893981,-0.05085968,-0.12545313,0.077572316,-0.22779982,0.31900728,0.24434102,0.20846875,0.20428461,0.30689922,-0.37133366,-0.15051143,-0.27011105,0.0094584385,0.1798169,0.28779918,-0.0658763,-0.6183911,-0.23481882,-0.19635585,-0.39749092,0.45945176,-0.05183514,0.17706248,-0.052588955,0.16770226,0.20192915,-0.17213333,-0.26874858,0.071599305,0.12079683,-0.063265026,-0.15797868,0.12394435,-0.08326422,-0.25159898,-0.23557901,-0.23803712,0.2659139,-0.1853563,-0.17209825,0.19913207,-0.2589261,0.3106233,-0.2254231,0.112131484,0.1874998,-0.14853229,0.23493008,-0.26954976,-0.5517549,0.1936048,0.25881332,0.27343845
f3_i3,0.15380476,-0.2163234,-0.1428572,-0.2714075,-0.22043459,0.19849414,-0.33212197,-0.31467584,0.04046397,-0.1536886,0.23091714,-0.18053897,0.19843322,-0.1342758,0.2574757,-0.2121162,-0.1507296,0.28190264,-0.43716052,0.016503667,-0.106817074,0.37662116,0.06703455,0.3346834,-0.2230811,0.13530797,0.086591475,0.16775669,0.4059927,0.21624523,0.38802692,-0.090234935,-0.16544208,0.24897733,0.04905714,0.24965332,-0.19084425,-0.040739276,0.22661893,-0.38078848,-0.1686858,0.3001804,0.28424603,0.009775536,0.26449832,0.19585885,0.023756022,0.08948317,-0.22099236,-0.037065957,-0.23375992,0.15696616,0.26259786,0.003284312,0.32480687,0.2423699,-0.23122701,-0.09536718,-0.23321147,-0.6279763,0.31679583,0.19066045,-0.37667322,-0.16266432,-0.08868126,-0.2665734,-0.26648775,-0.10994688,-0.03529958,0.388554,0.25416192,0.36592942,-0.052087046,-0.03496212,-0.18276787,0.13278484,0.21652523,-0.03439684,-0.16074923,0.23784803,-0.11811944,-0.19643031,-0.13120261,-0.07374784,0.21632746,-0.27783203,-0.3384988,0.22833036,-0.22747469,0.16048934,-0.16877781,0.12953328,-0.04336565,0.513298,0.07878144,-0.13144426,-0.35642108,0.3073898,0.35986114,0.52033454
f3_i4,0.1504584,-0.12756464,0.29429084,-0.10985327,-0.11254009,0.28898787,-0.31301817,-0.11513708,-0.024673555,-0.19533715,0.13110222,-0.21858461,0.011346852,-0.17575309,0.26970476,-0.18385842,-0.3265339,0.24802937,-0.2342099,0.3205955,-0.21504478,-0.32930335,-0.24522443,0.3498184,-0.15032873,0.26700133,0.23944806,0.24332382,0.44336426,0.24659285,0.40005043,-0.27425975,-0.4579927,0.047102336,0.39606407,-0.00981959,0.35571826,-0.0075651766,0.16699009,-0.30247933,-0.21890518,0.14616671,0.25212044,-0.104340985,0.29137298,0.13945884,0.15072477,0.22644839,-0.30885077,0.12815855,-0.22443697,0.17701595,0.31319875,0.2463776,0.26543,0.20892628,-0.31468782,-0.24342647,-0.28363764,0.07114195,0.08501549,0.22107202,-0.31590766,-0.3746237,-0.28083283,-0.3721147,-0.09301961,-0.20561482,-0.20238489,0.15789875,0.025650255,0.09957678,0.24824235,0.011157048,-0.22084805,0.28310403,0.274178,-0.19755739,-0.17071798,0.198225,0.18748952,-0.2697675,-0.15475458,-0.24675569,0.19435601,-0.22784688,-0.15003075,0.21832001,-0.1419394,-0.06671383,-0.19965671,0.19198929,0.090200506,-0.22574064,0.11931991,-0.15898013,-0.2817049,0.31412175,0.43042362,0.17285182
f3_i5,0.26894277,-0.16102178,-0.23501417,-0.18058625,-0.27463377,-0.008832808,-0.25153628,-0.097359285,0.27242628,-0.1652193,0.27001575,-0.15410228,0.027610337,-0.15641361,0.29551396,-0.18425521,-0.2325354,0.1268787,-0.37760207,0.2236433,-0.1856365,-0.28398922,-0.25191572,0.13383062,-0.19292718,0.015763234,0.16280603,0.21983132,0.2543236,0.22128606,0.31322026,-0.29875,-0.089059204,0.34423575,0.38246155,0.38377944,0.5190513,-0.41388068,-0.039516006,-0.33171007,-0.26648164,0.4132689,0.23874563,-0.25953862,0.06001555,0.19405828,0.32165486,0.20220605,-0.16458784,0.22241725,-0.3409632,0.2643962,0.13111103,0.28704593,0.25694513,0.25717658,-0.092827305,-0.23722388,-0.2421424,-0.19264197,0.045891687,0.12958671,-0.3553904,-0.10859858,0.0006798147,-0.34769085,-0.23507863,-0.32122624,-0.27073526,0.30447236,-0.0027291805,0.24600041,0.28361544,-0.22595936,-0.16824919,0.15517692,0.2969232,-0.26653472,-0.12956965,0.0967759,-0.059633162,-0.18105602,0.037800625,-0.17580472,0.18422472,-0.16767041,-0.1963067,0.13645113,-0.20980974,-0.08717241,-0.020464703,0.17072727,0.2747299,-0.19367084,0.24982122,-0.2198122,-0.2731328,0.278532,0.25443992,0.2688102
f4_i1,0.2193554,-0.25540406,-0.09784045,-0.07912785,-0.22838406,0.2775886,-0.2645475,-0.3175264,0.079893686,-0.10621501,0.3444159,-0.31814626,0.15531552,-0.23487188,0.22229078,-0.19991271,-0.14464307,0.005830932,0.20480943,0.32412583,-0.26306853,-0.02403215,0.09308294,0.35714018,-0.25845888,0.30348343,-0.2531072,0.19353025,0.29057074,0.09720179,0.22384045,-0.28008762,-0.36417437,0.13632269,0.22156695,0.27191705,-0.16154605,-0.027884772,0.21085489,-0.2643592,-0.27038652,0.3296152,0.22158457,-0.30936652,0.16085017,0.52187943,0.067799404,0.18422367,-0.20145114,0.053186983,-0.067111716,0.19510736,0.36987096,0.24231216,0.26202518,0.18328357,-0.15459004,-0.13617207,-0.15295798,-0.656344,-0.08570979,0.22198097,-0.35292268,-0.11442601,-0.27350527,-0.053395167,-0.27468956,0.5941433,-0.3612997,0.23377119,0.1761515,0.37775567,0.4732272,0.27860862,-0.2628035,-0.019163577,0.24218804,-0.18155804,-0.02759777,0.19290958,-0.37948877,-0.20445174,-0.13809915,-0.21026473,-0.013507225,-0.09957628,-0.20865428,0.19545548,-0.15477954,-0.114344664,-0.21616445,0.27213147,0.41665974,-0.07635976,0.31016004,-0.019946693,-0.2297627,0.2531509,0.20512716,0.11274521
f4_i2,0.21612944,-0.29305074,0.052449413,-0.15437095,-0.30833703,0.10753977,-0.278219,-0.20827395,0.3188262,-0.15743703,0.13789672,-0.19605376,0.2271655,-0.23265421,0.24557354,-0.22982511,-0.27013487,0.1903025,-0.27749944,0.24254535,-0.23724967,-0.1644306,-0.28734848,0.22568361,-0.24070534,0.3844754,0.16076067,0.15649761,-0.0035485686,0.31071597,0.24653076,-0.303407,-0.31469074,0.1450361,0.30555958,0.23996459,-0.21492153,-0.15242684,0.19685456,-0.19511956,-0.2557199,0.3087766,0.30775514,-0.15323785,0.17922294,0.35547486,0.43414617,0.16616252,-0.39871016,0.120742485,-0.22100103,-0.013734845,-0.22545257,0.330969,0.17731017,0.34159216,-0.26594847,-0.21822973,-0.13101758,-0.58406794,0.2461701,0.29216358,-0.17247503,-0.23600319,-0.19793664,-0.077342965,-0.21397252,0.016132984,-0.20187983,0.27374977,0.20911574,0.32778442,0.4842811,-0.18726832,-0.16728431,0.42120248,0.21605244,-0.2526588,-0.29417515,0.0979382,-0.121148385,-0.22297642,-0.17453918,-0.18035273,0.11881216,-0.15707892,-0.25792292,0.18961602,-0.30313182,0.4097739,-0.18900706,0.1337812,0.2785641,-0.51012117,0.22958729,-0.19015804,-0.22452065,0.2830411,0.06345227,0.26995748
f4_i3,0.07438522,-0.20739329,0.13514166,-0.078192644,-0.36359408,0.19971392,-0.3261077,-0.11869457,0.29465124,-0.28685197,0.34947678,-0.09457411,0.014279761,-0.20945573,0.15668061,-0.23343875,-0.27545783,0.1514381,-0.40332168,0.32158944,-0.23790158,-0.039851576,-0.4364641,0.12426581,-0.14384784,-0.16312516,-0.097935714,0.23066574,0.02138175,0.30962458,0.33433828,-0.31608123,-0.08764291,-0.16822743,0.27890694,0.21477894,0.289726,-0.038832776,-0.0023212018,-0.13298607,-0.25824493,0.26565227,0.22183731,-0.3208785,0.18698181,0.45242718,-0.0027763143,-0.23307581,-0.026863925,-0.018167993,-0.3049017,0.33028573,0.11799259,0.211809,0.12660147,0.26494303,-0.111573786,-0.16021232,-0.1328317,0.21200615,0.03859955,0.38554952,-0.36646134,-0.14459634,-0.2923192,-0.31734732,-0.14841896,0.2813262,-0.3362685,0.2668559,0.1109543,0.098948725,-0.079474494,-0.46907496,-0.291507,0.452262,0.25880376,-0.123941824,-0.20964484,0.2019046,-0.14586447,-0.18991442,-0.30811504,-0.21111174,0.20692585,-0.21664402,-0.047626097,0.24142821,-0.23516229,-0.3368034,-0.2024318,0.2290899,0.12404818,-0.20261118,0.16982895,-0.066156,-0.44721675,0.31841865,0.33439434,0.19446953
f4_i4,0.1414383,0.041874252,0.31722918,-0.051037133,-0.15779114,0.09181692,-0.28307474,-0.11433883,0.1830804,-0.29257604,0.09083626,-0.23676397,0.09684065,-0.14511631,0.2450615,-0.1933506,-0.14313088,0.16854712,-0.31174,0.057435133,-0.27681383,-0.24066448,0.01994725,0.17290835,-0.32384667,-0.08124686,0.337723,0.18483038,0.22623327,0.047351256,0.022110121,-0.33715284,-0.4236919,-0.0245965,0.30044448,0.23842826,-0.67062193,-0.39061648,0.31234086,-0.2789452,-0.22700502,0.16453975,0.15731882,-0.22346152,0.28159285,0.37883693,0.18855618,0.06446244,-0.07417431,0.26087877,-0.26000765,0.3720517,0.2059724,0.29056498,0.26046017,0.012248547,-0.18852334,-0.07877609,-0.23858257,-0.29659882,0.17079207,0.122908145,-0.34647912,0.1494792,-0.11193766,-0.09902146,-0.37193084,0.26936817,-0.37434852,0.20706673,0.06952834,0.16995932,0.3243768,-0.23404679,-0.18279713,0.1498545,0.23923323,-0.12127405,-0.13209684,0.38957882,0.030050786,-0.12777235,-0.4849926,-0.25271478,0.23106907,-0.12368383,-0.17865822,-0.05989171,-0.20855474,-0.06196335,-0.1652791,0.30651867,0.29768205,-0.42942902,0.1675887,-0.27194926,-0.18810622,0.30504897,0.26249814,0.26171988
f4_i5,-0.050267447,-0.21489137,-0.16282715,-0.3835749,-0.18503562,0.07242879,-0.25362903,-0.2315903,-0.07758246,-0.23625188,0.1715432,-0.19111553,0.05241854,-0.19234248,0.36267862,-0.09021219,-0.3572642,0.23999913,-0.32327837,0.0012434437,-0.19764425,-0.011229816,-0.7738969,0.31028807,-0.22673666,-0.0016364153,0.21996945,0.21595961,0.24462433,0.26542163,0.40119416,-0.22528465,-0.17928468,0.15296264,0.319817,0.37012443,-0.15592673,-0.3075867,0.09914809,-0.26742053,-0.15063031,0.25950137,0.18857132,-0.19951063,0.28315392,0.4333074,0.20465997,0.4509982,-0.21080196,0.2579016,-0.20164083,0.24928689,0.20171311,0.0759605,0.21935503,0.15531795,-0.11759995,-0.21927989,-0.1470173,-0.14160576,0.014210859,0.3378078,-0.3766103,-0.23749092,-0.09763308,-0.25086737,-0.23973249,0.09227954,-0.02769575,0.32224038,0.05657118,0.31654772,-0.02528123,0.096744694,-0.14825374,0.15814517,0.24851143,-0.15586066,-0.22715093,0.016812414,-0.5397602,-0.09447134,-0.1150468,-0.24986921,0.16655797,-0.25364977,-0.05867661,0.20098329,-0.13867387,-0.0017539484,-0.25691837,0.20892562,0.38734305,-0.4193921,0.15275481,-0.10436482,-0.34206602,-0.020595687,0.27605402,0.08657081
