problem,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_51,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_72,p_73,p_74,p_75,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92,p_93,p_94,p_95,p_96,p_97,p_98,p_99,p_100,p_101,p_102,p_103,p_104,p_105,p_106,p_107,p_108,p_109,p_110,p_111,p_112,p_113,p_114,p_115,p_116,p_117,p_118,p_119,p_120,p_121,p_122,p_123,p_124,p_125,p_126,p_127,p_128,p_129,p_130,p_131,p_132,p_133,p_134,p_135,p_136,p_137,p_138,p_139,p_140,p_141,p_142,p_143,p_144,p_145,p_146,p_147,p_148,p_149,p_150,p_151,p_152,p_153,p_154,p_155,p_156,p_157,p_158,p_159,p_160,p_161,p_162,p_163,p_164,p_165,p_166,p_167,p_168,p_169,p_170,p_171,p_172,p_173,p_174,p_175,p_176,p_177,p_178,p_179,p_180,p_181,p_182,p_183,p_184,p_185,p_186,p_187,p_188,p_189,p_190,p_191,p_192,p_193,p_194,p_195,p_196,p_197,p_198,p_199
f5_i3,0.2054362,0.28431466,-0.016719809,-0.26058495,-0.23156728,0.18909211,-0.1949273,0.11505915,-0.01393329,-0.21525039,0.0740244,0.21170324,-0.25545326,-0.22874019,0.0044722925,-0.22860275,0.027508177,0.19620706,-0.2854853,0.10209003,-0.20557469,-0.14100006,-0.16723397,-0.05026907,-0.07585341,0.04777519,-0.22236778,-0.2697777,0.005051139,-0.2310845,-0.093153685,0.2788512,0.07530282,0.2651718,0.051969316,-0.30827427,-0.35753897,-0.31353205,-0.056495696,-0.27236572,-0.22224051,-0.24462448,-0.24550356,0.12474732,0.075655505,-0.11832052,0.09273171,-0.27735746,-0.26486215,-0.3642343,-0.061923124,-0.1417891,-0.32190233,-0.19900493,-0.26583067,0.23378883,-0.054024555,-0.16079669,0.23361102,-0.40589812,0.039598692,0.13215365,0.18936452,0.23955862,-0.27907658,-0.2567334,0.15114276,-0.2680595,-0.26105523,0.30627677,-0.066632606,0.17271146,-0.11636575,0.122011065,0.169454,0.23653106,-0.006247587,-0.18332745,-0.11757085,-0.11519248,-0.29043654,-0.06716012,0.2607874,0.18316029,0.10600989,-0.20574288,0.5144694,-0.19624431,0.23687318,0.22274974,0.014197446,0.3883527,0.23937024,0.26108056,-0.12353707,-0.14947261,0.11803368,-0.15058358,-0.161628,0.13014643,-0.16092111,0.052548226,0.28136703,-0.15799671,0.19606698,0.1849433,-0.25626683,-0.1035849,-0.19443424,0.23579867,-0.15961981,0.17620213,-0.17883712,-0.26950374,-0.30503178,-0.02956095,-0.25478598,-0.22455642,-0.29024896,0.19640578,-0.22327688,0.25131166,-0.17778014,0.00033008127,-0.07107499,0.20594765,-0.46928748,0.28673857,-0.08711726,0.17961872,-0.2424817,-0.07670905,-0.34364176,0.18119588,-0.09221101,0.46129754,-0.4854559,-0.0790605,-0.23448628,-0.44225824,-0.21972506,-0.04489623,0.2673288,-0.22908778,0.19848181,0.011052959,0.07320443,-0.11921466,0.15837133,-0.40773055,0.058194738,0.07655507,0.15691024,-0.210244,0.19239789,-0.11316544,0.2108642,0.20934328,-0.1157372,-0.2157143,0.0369526,0.13077715,-0.26885393,-0.21542335,0.1340452,-0.029810704,-0.31063485,-0.16682427,-0.1410371,0.25038195,-0.25171003,0.10116253,-0.20211281,0.16083619,0.20205751,-0.09624044,0.111804076,-0.17400081,0.22000717,-0.14779744,-0.40708604,-0.2730111,0.2597771,-0.17611101,0.19838138,0.14221457,-0.3641867,-0.18028298,0.19973531,-0.12346516,0.14212589,-0.21866119,-0.21418448,0.22620502,0.1217912,0.20392042,-0.18414772,0.14891033,0.2046597,0.28099027
f5_i4,0.15048164,0.16012298,0.1416528,-0.33364147,-0.14758892,0.193853,-0.27499497,0.10001587,0.14255938,-0.079717346,0.18954583,0.26163045,-0.049739964,-0.27677977,-0.1902048,-0.16828565,-0.22661692,0.16440926,-0.17138506,0.14046507,-0.14979267,-0.17857409,-0.24233449,-0.15326206,-0.08184589,0.096391015,-0.0845739,-0.23304202,-0.10096187,-0.27087244,-0.06611311,0.28587332,0.14762267,0.23736838,0.15892535,-0.28510234,-0.32897362,-0.13802883,-0.12713748,-0.1587426,-0.20989168,-0.3729188,-0.21111932,0.17692597,0.17554319,-0.33985984,0.25247917,-0.14486147,-0.21934819,-0.5344748,-0.07997842,-0.23421298,-0.45295197,-0.062105376,-0.21571873,0.41732073,-0.23472895,-0.0049517807,0.18641311,-0.23924136,0.036680236,0.18343654,0.0065575684,0.14942469,-0.16073182,-0.24673627,0.24406323,-0.23956728,-0.14175165,0.08781353,-0.034805674,0.3311447,-0.22878866,0.19631658,0.14750263,0.24474615,-0.29902473,-0.1993625,-0.17582966,-0.1428616,-0.1257216,0.16007175,0.2398621,0.036146563,0.19544625,-0.0016234904,0.52630025,-0.09873833,0.21678597,0.21431735,-0.24591888,0.40506694,0.22665505,0.30086285,-0.27032065,-0.20161319,0.06733728,0.010251795,-0.3230175,0.1965398,-0.29800797,-0.07717433,0.28779072,-0.28524622,0.20846584,0.0666712,-0.2642161,-0.09714602,-0.034230273,0.30637863,-0.26968315,0.23473293,-0.26384985,0.023961676,-0.13130005,-0.09818305,-0.20072117,-0.13555223,-0.14587238,0.29304546,-0.24430874,0.3750027,-0.09510532,-0.17933933,-0.08386823,0.22281605,-0.5390391,0.11473835,-0.04337499,0.067741826,-0.13503407,-0.072297,-0.34231612,0.027251232,-0.14964253,0.3945747,-0.29179078,-0.03125905,-0.13269666,-0.18186024,-0.36129856,0.1033296,0.12289288,-0.12891978,0.25094864,0.194361,0.09303061,-0.12072388,0.15586565,-0.28946114,-0.05530936,-0.044075493,0.13296196,-0.1838937,0.20832193,-0.32378066,0.25402308,0.06055731,-0.1745235,-0.18536253,0.09758281,0.17093407,-0.19527684,-0.16757601,0.20838687,-0.2062297,-0.28049332,-0.34720224,-0.08127072,-0.10766166,-0.10267107,0.03792307,-0.21129602,0.13789138,-0.06497781,-0.2134263,0.16941893,-0.1411592,0.13963945,-0.14042054,-0.45814887,-0.19627278,0.23817638,-0.25114176,0.12979814,0.21734458,-0.403593,-0.17541805,0.19905046,-0.22524329,0.2641045,-0.2864347,-0.21998993,0.28864506,0.25106034,0.2806063,-0.15760826,0.18831035,0.07250143,0.07648917
f5_i5,0.3035423,0.26993483,0.117206156,-0.19785826,0.02474488,0.131884,-0.40444785,0.1590593,-0.09381602,-0.02334924,0.09759188,0.30224305,-0.11920425,-0.28053564,-0.036550317,-0.2773577,-0.13301007,0.20277247,-0.30145782,0.22032446,-0.37703007,-0.20103882,-0.24708295,0.09012389,-0.08114328,0.026089942,-0.12922381,-0.36863005,-0.17468546,-0.21939398,-0.10395611,0.20038567,0.18322827,0.2540637,0.28477427,-0.3295012,-0.31046373,-0.22310188,-0.066989966,-0.17576696,0.03376155,-0.43914175,-0.13267004,0.15767385,0.11556181,-0.15941222,0.22067879,-0.23788188,-0.2809089,-0.45763823,-0.03139872,-0.066163324,-0.23190859,-0.340732,-0.26275298,0.28929946,-0.15073864,-0.043932553,0.17360742,-0.24216966,0.021022417,0.13687956,0.3326899,0.18644933,-0.18260428,-0.08064789,0.06579453,-0.1596509,-0.10069682,0.35032648,-0.23685022,0.33098727,-0.36762324,-0.11680358,0.20361692,0.17489024,0.0691677,-0.11727197,-0.15471067,-0.1546079,0.40383163,-0.09649358,0.2505875,0.1920339,0.2039593,-0.04499919,0.44679192,-0.21571591,0.110243686,0.06747811,0.026353946,0.39200592,0.2742597,0.3820454,-0.21702561,-0.2658297,0.1685116,0.15849295,-0.25199035,0.18665436,0.32836547,-0.16161552,0.27986637,-0.22617628,0.09439187,0.21417224,-0.36090222,-0.15058942,0.08626817,0.28284127,-0.19045003,0.3112912,-0.15349238,-0.03496172,-0.17936459,0.031194603,-0.15790407,-0.341263,-0.37418687,0.15384668,0.10779151,0.17829157,-0.1301145,-0.08070201,-0.06785616,0.39231426,-0.37729383,0.21747999,-0.12997264,0.17158945,-0.2471596,0.0147649795,-0.169937,0.14491825,-0.22004567,0.4999807,-0.5835686,0.060931224,-0.24880703,-0.24005407,-0.42169422,0.084883265,0.05918528,-0.10231095,0.20935217,0.32378653,0.17881504,-0.18518858,0.14168987,-0.22700688,-0.2918278,0.08941418,0.08016799,-0.060149956,0.17384526,-0.29120794,0.148921,0.09151126,-0.21550606,-0.25607082,0.0599942,0.2415839,-0.16371945,-0.12049596,0.15793477,0.46821097,-0.363495,-0.33985806,-0.23722114,0.04073904,-0.17674096,0.28906772,-0.26997063,0.23010471,0.039656214,-0.29034498,0.25720933,-0.0752025,0.06544581,-0.2132981,-0.19642904,-0.24316242,0.06335006,-0.2021172,0.21914232,0.18599233,-0.3612225,-0.2525119,0.15312788,-0.16316344,0.26699284,-0.18529257,-0.32906657,0.17575185,0.17446901,0.17473689,-0.2586225,0.14925009,0.11928456,0.23459198
f6_i1,0.052369237,0.2166886,-0.16198552,0.020390354,0.109986976,0.030446677,0.05070346,0.017478004,0.26440647,-0.31712416,0.12338817,-0.30375886,-0.19760822,-0.121292956,-0.088894136,-0.1498492,-0.045149785,0.20065811,-0.01183416,0.15008968,-0.19991037,0.09599614,-0.2536592,-0.029226981,0.087737575,0.12355485,-0.2219182,0.16012739,-0.15118232,-0.114514254,-0.2948514,-0.31589594,0.19143394,0.316429,-0.16768278,-0.2792944,-0.15883318,-0.16539834,-0.19120277,-0.24631703,-0.18114471,-0.39659774,0.27743575,0.12906122,0.15243815,-0.13792697,0.13368672,0.035912573,-0.15059157,0.31021267,0.113584645,0.13452902,0.0818471,-0.112955034,-0.15673152,-0.26922303,0.16379046,0.19033864,0.2938206,-0.3343061,0.024488132,0.05570241,0.26092115,0.39616293,-0.23413207,-0.2290752,0.23466827,0.008461662,-0.25702745,0.08756302,-0.2756378,-0.050306838,0.07055089,0.06656946,0.23671702,0.15744223,0.11993735,-0.05524644,-0.19285189,-0.18737005,-0.3742586,-0.031756856,-0.1530983,0.15636428,0.21928816,-0.32557234,-0.035760563,-0.09661454,0.05118469,0.09619018,-0.30461755,-0.0821073,0.072204284,-0.029789146,0.2305361,0.23520976,-0.2400814,0.0730444,-0.24499063,0.19529557,-0.42967516,-0.30411416,0.18333264,-0.15428883,0.32418582,-0.17166129,-0.23106246,-0.10218226,-0.24438155,-0.2718416,-0.0901667,0.16300845,-0.40637237,-0.22481847,-0.25292823,0.2480783,-0.22622646,-0.38972154,-0.10563684,-0.08976759,-0.3127458,0.26348338,-0.13554499,-0.13539612,0.09581563,-0.4277876,0.1250667,0.033025756,0.13703015,0.06525976,0.016492316,-0.16902144,-0.36199254,-0.060987044,0.33196694,0.21169993,0.20175533,-0.04716396,-0.21517868,0.012379001,-0.17730017,0.19302471,0.19012786,-0.0046823327,0.15670572,0.22217593,0.19148274,-0.3545768,0.22079854,-0.0069407667,-0.28526068,0.46609217,0.0828709,-0.003095709,0.05959155,-0.08941125,0.31243768,0.16644585,0.03058286,-0.07943397,0.06885802,0.16910513,-0.12893179,-0.07809644,0.11995913,-0.26418555,0.068203144,-0.17753978,0.12420431,-0.20359029,-0.20922266,0.3317964,-0.26842442,0.24452102,0.16049393,-0.1532941,0.04250621,-0.15462473,0.24814779,-0.1594801,0.0855486,-0.3819892,0.079729326,-0.19916612,0.14697567,0.21313055,0.4436603,-0.24399066,0.18349804,0.00054027373,0.30775252,0.36679906,0.21128382,0.3039921,0.13867126,-0.022784913,-0.026654672,-0.053372122,0.10815411,-0.14622822
f6_i2,0.103007205,0.29456207,-0.260372,-0.11024062,0.27876914,0.05777533,-0.07438187,0.079288125,0.0717347,0.011109344,0.22829849,-0.1786362,-0.07515131,-0.20151983,-0.0436929,-0.2376136,-0.34926102,0.115051135,-0.26267165,0.16132692,-0.045400992,0.19429025,-0.07250061,-0.3618802,0.054558232,0.29157665,-0.12197715,0.08546865,-0.17083664,-0.2825899,-0.08825497,-0.010466713,0.3829151,0.20028955,-0.19835997,-0.27051422,-0.36582476,-0.09751236,-0.16042884,-0.006453294,0.17243181,-0.13413964,0.19098389,0.05836401,0.1663524,-0.0019610329,0.107361205,-0.24296735,-0.16954863,0.31878322,0.29406664,-0.45234978,0.2217083,-0.26538393,-0.23001267,-0.20034297,-0.09445687,0.2588449,0.22477648,0.4387154,0.22379966,0.23591837,0.13918382,0.32458225,-0.1347637,-0.02031259,0.2172022,0.12952882,-0.15551819,0.12652586,0.048636306,-0.1795808,0.15205805,0.19589612,0.08535445,-0.272653,0.3132789,-0.41558537,-0.19770592,-0.28273278,-0.11384319,0.24412397,-0.17633912,0.11632839,0.30684566,-0.04935865,0.041188944,-0.14986877,0.0036553987,-0.11619852,-0.18519866,-0.23579925,0.22157897,-0.21688996,0.44705078,-0.02852755,0.012240954,0.25315663,-0.26991937,0.09614089,-0.14898309,-0.08812821,0.29212427,-0.12547794,0.13046876,-0.23150207,-0.066620685,-0.24135454,-0.19741778,-0.320137,-0.17889117,0.16006447,-0.4477235,-0.16350277,-0.19911535,0.16339508,-0.07827307,0.12907839,-0.05982076,-0.17872837,0.0806124,0.14352971,-0.33626258,-0.0388037,0.29305628,-0.21496204,0.25657517,-0.06091331,0.23424363,0.10157042,-0.27927876,-0.25093582,-0.08754855,0.190929,-0.051108032,-0.07422718,-0.027207233,-0.23227498,-0.22265065,0.20570697,0.04980675,0.12211338,0.14975168,0.09563352,0.22011718,0.20820192,0.15962608,-0.08112556,0.14805385,-0.22392128,0.23291521,-0.1287657,0.11798738,0.21048617,0.009317195,-0.10765365,0.18582037,0.20057793,-0.15396897,-0.16091685,-0.055264395,0.050142713,-0.2896533,-0.25409445,0.19249421,-0.2507574,0.19794069,-0.17667884,-0.10196063,-0.081041984,-0.4013329,0.18457967,-0.336357,0.078860834,0.0004838179,-0.20003885,0.069488555,-0.2120765,0.246954,0.019462109,0.17089188,-0.17933759,0.2602392,-0.16905756,-0.017453765,0.26613167,0.32282987,-0.29450512,0.1786965,-0.30891654,-0.034064896,0.10287312,0.10580495,0.09391507,0.2016645,0.045279257,-0.08814478,0.13945308,0.1335833,-0.25262296
f6_i3,0.16254547,0.302259,-0.15613264,-0.13843733,0.20776033,0.13093133,0.08403463,-0.038473576,0.25193143,-0.11948817,0.28800708,-0.12678768,-0.4142301,-0.30239806,-0.35988808,-0.22128731,-0.08287234,0.10208609,-0.3676844,0.117606394,0.01061992,0.24386558,-0.094648495,-0.3682751,0.2779277,0.2959821,-0.012486323,0.1563374,-0.1818561,-0.19487664,-0.29327613,-0.059594464,0.19675568,0.010650437,-0.09788726,-0.22013107,0.11055059,-0.09992024,-0.11723075,-0.11924981,0.114635855,0.03803038,0.179763,0.16972615,0.2104337,-0.18366864,0.2051448,0.0026256552,-0.06375408,0.22126433,0.2674496,0.0018066632,0.3665951,-0.32762927,-0.13783975,-0.22561206,0.010102203,0.13068804,0.12982596,0.06950765,0.24963756,0.10605708,0.18890955,0.18184645,-0.06888694,-0.14750896,0.22067374,0.10959263,-0.0064643663,-0.13399942,-0.32791793,-0.16950542,0.14125898,0.15662943,0.18982214,-0.013949946,0.14544623,-0.13955556,-0.19271696,-0.15366662,0.16877674,0.07556072,-0.14541413,0.2226315,0.06160775,-0.10648588,0.022532908,-0.20813651,0.09435115,0.2604082,-0.18072605,-0.108171366,0.21871603,-0.15474802,0.085647084,0.28041393,-0.3535801,0.26797044,-0.16803688,0.14477764,-0.25038674,-0.084881246,0.23411408,-0.15192123,-0.011983366,-0.25402313,-0.016564626,-0.074050285,-0.009317503,-0.07342445,0.04485521,0.2560223,-0.16516317,0.061300885,-0.1674193,0.09890838,-0.2599381,-0.35658246,-0.03839099,-0.18335551,-0.04806571,0.18187252,-0.25253016,-0.35961956,0.11690025,-0.18873078,0.13352482,0.031464614,0.041875783,0.08226674,0.03821237,-0.26058814,0.455007,0.21733987,0.14784211,0.25211444,0.024704006,-0.19267026,-0.25584581,-0.24716069,-0.42984802,0.2222768,0.1966998,0.022328658,0.109265044,0.18457967,0.13663208,-0.22935593,0.25039187,-0.250304,0.04903997,0.15544872,0.1112686,0.13489155,0.21936995,-0.23852195,0.058088165,0.12945026,-0.0025390391,-0.066641055,-0.42426246,0.18086332,-0.0600218,-0.059540436,0.12633923,-0.1972759,0.1456623,-0.18916586,-0.22420904,-0.18337096,0.14501664,0.11117478,-0.5211933,0.20243028,0.061323885,-0.15261504,0.16175164,-0.25255072,0.10861271,-0.20115325,0.24008775,0.19691293,0.28572834,-0.095465034,-0.0019486559,0.14314543,0.27197418,-0.27676347,0.14949793,-0.21680836,0.13103017,0.19447462,0.086893804,0.20693296,0.05108637,0.078486025,-0.11057789,-0.29289383,0.28298905,-0.18878329
f6_i4,-0.020138172,-0.012349356,-0.13328214,-0.3348318,0.1773352,0.12179317,0.16735907,-0.10944709,0.2871413,-0.14011805,0.16765438,-0.1459815,0.08807298,-0.2775349,-0.11570546,-0.2447797,-0.20982918,0.19858398,-0.15331365,0.01027886,-0.39314154,0.14178388,-0.23701891,-0.2607228,0.13031113,0.2201805,-0.19181143,0.18234478,-0.101943895,-0.14408524,-0.13065101,0.2563664,0.18455467,0.0063065276,-0.19924742,-0.124347776,-0.19809796,-0.27062243,-0.17113796,-0.2155506,-0.2656639,-0.35917774,0.19648562,0.29697517,0.12977038,0.008047134,0.24029101,-0.28379714,-0.21405353,0.12091177,0.07713514,-0.2927658,0.26924667,-0.07278105,-0.24799453,-0.10347873,0.054770935,0.19624569,0.26240405,-0.09739408,0.14776611,0.18035524,0.05293611,0.31550992,-0.0631184,-0.18262692,0.15912285,-0.24569467,-0.104435176,0.10492064,0.006794733,-0.01724816,-0.34125194,0.18563245,0.19268946,-0.13211358,0.16947192,-0.22225815,-0.17037776,-0.20976587,-0.23910548,0.27595964,-0.07816847,0.10930325,0.15653928,0.015997184,0.1912442,-0.18223971,0.14718768,0.05777118,-0.25289255,-0.21283902,0.023727117,-0.13378277,0.21378767,0.14691475,-0.075255595,0.19272138,-0.15995139,0.16120988,-0.37747672,-0.14527307,0.27179036,-0.048760343,0.046067446,-0.11470298,-0.20324634,-0.16636096,-0.012168029,-0.10597698,-0.3959811,0.23305903,-0.16405556,0.19967887,-0.08337198,0.018908754,-0.11228747,-0.21991876,-0.26615047,-0.23286436,-0.021845456,0.19471414,0.032112636,-0.19907962,0.23852555,-0.12048006,0.14605321,0.20376511,0.270181,0.14702226,-0.17489485,-0.17093717,-0.5617968,0.08538324,0.21252815,0.19834939,0.27906737,-0.15115592,0.034645475,-0.024803225,-0.2680523,0.02652127,0.18894586,0.053914107,0.07914372,0.09174279,0.15883216,-0.22042988,0.20259215,-0.2721676,-0.033511776,-0.15511243,0.03211745,-0.25530365,0.23723355,-0.08033866,0.22427616,0.20598249,-0.09768438,-0.19657053,-0.06539637,0.18995708,-0.30378413,-0.095882386,0.21606962,-0.1206672,0.21673211,-0.119086035,-0.13674054,-0.22602639,-0.30193132,0.27883026,-0.090097144,0.17047797,-0.23790392,-0.21701485,0.36072463,-0.10620943,0.03848495,-0.15843754,-0.048722822,-0.23770761,0.3307616,-0.27123955,0.008421564,0.21543929,0.16839255,-0.16169992,0.20895185,-0.045666754,0.12736435,0.16945496,0.30516315,0.10407226,0.08332596,0.24338713,-0.09051082,-0.08946636,0.3155645,-0.050120298
f6_i5,0.25480327,-0.24635236,-0.23407486,0.28343683,0.15311944,0.16812429,0.18467614,-0.22692552,0.21571763,-0.058028832,0.17172943,-0.12735668,-0.1794411,-0.27529046,-0.20502524,-0.21304677,-0.2577171,0.11749768,-0.23987512,0.12445198,-0.22575589,0.21281853,-0.05417767,-0.0010514103,0.2772203,0.2644134,-0.24596383,0.058840364,-0.22148222,-0.05684396,-0.1492597,0.14828387,0.2026244,0.21480176,-0.1841077,-0.18586765,-0.102565,-0.1830082,-0.1439307,-0.28701574,0.17343691,0.09500033,0.26899356,0.0444599,0.06751288,-0.09768386,0.1180771,-0.023966655,-0.13380602,0.22768235,0.22140516,-0.120570466,0.09587469,-0.024854558,-0.24114498,-0.072907336,0.02023651,0.13846964,0.22385915,-0.14862613,0.092916794,0.24166867,0.22363605,0.23087946,0.041541696,-0.2735015,0.18871456,0.34576976,-0.13089922,-0.15361254,-0.28270826,-0.2169508,-0.18223871,0.14391339,0.22653176,-0.17872813,0.30833632,-0.18652236,-0.11913112,-0.14890444,-0.11899584,0.2926335,-0.14282905,0.11473972,0.14422466,-0.09197174,0.099195436,-0.038621616,0.15218155,0.27329177,-0.29080138,-0.18599217,-0.016099129,-0.21655694,0.41753516,0.24939123,-0.1646087,0.21715769,0.17792594,0.010664486,-0.0151166655,-0.13208656,-0.013407718,-0.16835752,0.09497902,-0.19440068,-0.21129459,-0.2002706,-0.11381156,-0.19185317,-0.16694069,0.25835437,-0.07731648,0.14654234,-0.08345986,0.11412315,0.024506852,-0.34681964,-0.19285111,-0.22919783,0.17355046,0.1599066,-0.3500715,-0.29348323,0.15206873,-0.050255015,0.31112462,0.3092289,0.11856587,0.10273171,-0.22367385,-0.21383052,-0.17095208,-0.057091128,0.06708772,0.07675308,0.26856565,-0.09705241,-0.050111055,0.103626244,-0.18123509,0.24381857,0.2521985,0.33839986,0.23763,0.27892604,0.23301575,-0.2898855,0.13543865,-0.32972145,0.45491263,0.2234338,0.15289238,-0.36779717,-0.059829,-0.22045888,0.12621476,0.058719024,0.14674337,-0.28911844,-0.03341538,0.09531445,-0.28544107,-0.20636575,0.14983414,-0.23387425,0.16052978,-0.16563122,-0.10519231,-0.23341736,-0.08857852,0.10419683,-0.20618944,0.23283029,0.44633636,-0.22105104,0.020990565,-0.24870221,0.03506544,-0.3013246,0.4246495,-0.39470774,0.10304501,-0.13228263,0.11217748,0.18841907,0.05730252,-0.20153941,0.14596307,-0.20551975,0.072405174,0.33273244,0.14126284,-0.021881707,0.11277744,0.18302609,-0.13344043,-0.1211872,0.19600052,-0.24906965
f7_i1,0.04995424,0.1511978,-0.1952451,-0.25110745,0.16769461,0.22998293,0.07390712,0.1912655,0.21155234,-0.21867326,0.23155513,-0.10108897,0.18733294,-0.24971004,-0.14063518,-0.21349593,-0.18768805,0.24332808,-0.21145098,0.07287931,-0.026167722,0.23732498,-0.13840608,-0.37449938,0.22606076,0.18735863,-0.2674112,0.15418991,-0.13857313,-0.062272143,-0.20373364,0.17483386,0.351433,0.036927998,-0.23483472,-0.20827779,0.017458053,-0.054474134,0.06535137,-0.1730527,-0.057564497,-0.3010082,0.26669744,0.03285649,0.19788253,-0.061358016,0.2692654,-0.07781461,-0.19769195,0.36959895,0.18975635,-0.20865582,0.0874282,-0.272492,-0.1697494,-0.22515075,-0.16191569,-0.11688715,0.20008503,0.18159753,0.13263217,0.18492836,0.24237669,-0.12154141,-0.28863642,-0.18425699,0.15421177,-0.31001943,-0.1158356,0.057959504,0.0007934107,-0.23697846,-0.05037997,0.1966072,0.18335561,-0.030651262,0.11958276,-0.21896395,-0.11382767,-0.20418502,-0.5358092,0.09220495,-0.16933875,0.2831385,0.23981933,-0.11979051,0.1954763,-0.22085032,-0.018420199,0.2991515,-0.31197417,-0.0014365765,0.18898071,-0.23816934,-0.029988391,0.3218445,-0.08986275,0.2145186,0.022104677,0.22165255,-0.31918108,-0.2077958,0.1190508,-0.14592528,0.31675464,-0.1542385,0.04084713,-0.10463036,-0.2367663,-0.44018108,-0.02913358,0.12581623,-0.24990812,-0.032074977,-0.283521,0.2675786,-0.14058785,-0.17502476,-0.23079693,-0.2925433,0.058993075,0.07331753,-0.2576671,-0.059438508,-0.06703727,0.10017454,0.23974232,0.112851016,0.11358825,0.16949034,-0.2029396,-0.17169972,0.20217694,0.32618108,0.20450525,0.09795248,0.25950965,-0.20313169,-0.24830753,0.20099829,-0.47391793,0.13278514,0.08394863,0.1042016,0.14654985,0.13465339,0.24044958,-0.15040295,0.20766443,-0.19796179,-0.41315728,0.25447512,0.21901035,-0.337454,0.21534622,-0.11407128,0.24931556,0.16502057,-0.013126124,-0.27395064,0.19498369,0.20450367,-0.08214283,-0.27146012,0.09412237,-0.2136793,0.054025862,-0.2625371,-0.21267515,-0.09212857,0.075402535,0.29192162,-0.058511145,0.19336452,-0.15528095,-0.29532894,0.2925975,-0.21690814,0.3056464,-0.18596502,-0.093189694,-0.35907802,0.17986524,-0.111027695,0.21896935,0.09871223,0.37642983,-0.22105579,0.31194508,-0.11871655,0.004678006,0.13494326,-0.09148598,0.2138439,0.2706067,-0.008453613,-0.10077427,-0.18416137,0.18762614,-0.108228415
f7_i2,0.2723042,0.07213061,-0.21396269,-0.041941542,0.11525135,0.24473517,0.40752208,-0.13484588,0.21937701,-0.021440899,0.21578026,-0.22670652,0.09658848,-0.14695784,-0.13026805,-0.2260354,-0.26396972,0.20525931,-0.14546174,-0.0014506103,-0.1671075,0.024237622,-0.30798277,-0.042604033,0.17505307,0.08643379,-0.12243701,0.0709633,-0.1903046,-0.2166704,-0.037760533,0.121924356,0.09135528,0.24227354,-0.19699258,-0.04871539,-0.27255228,-0.20419636,-0.18510523,-0.068220556,-0.12558019,-0.072295405,0.14046922,0.16463657,0.1418681,0.14484902,0.17478801,-0.22101237,-0.10818168,0.024731118,0.24748656,-0.049370345,0.3446018,-0.19425453,-0.07474738,-0.05917034,-0.5425168,0.080532804,0.16036096,-0.21019112,0.1487721,0.13078856,0.03226372,0.07172996,-0.23669085,-0.17142123,0.28064618,-0.2342355,-0.2522892,0.123121165,-0.20796506,-0.27722874,-0.07988438,0.280583,0.06830797,-0.33487898,-0.10136301,-0.25065067,-0.046335034,-0.24468316,-0.26706818,0.29624927,-0.22950613,0.23901631,0.25231126,-0.22714727,0.3188184,-0.30424988,0.07663063,0.2395613,-0.27201498,-0.10388022,0.16662349,-0.23703086,0.17163803,0.12242957,-0.119803235,0.18847804,-0.18333268,0.13684157,-0.13556214,-0.08087273,0.10519103,-0.13616128,0.071270555,-0.20915838,-0.07266224,-0.19042878,-0.22801045,-0.2303506,-0.28416187,0.22989628,-0.06916709,0.0077036866,-0.19473004,0.046418566,-0.14046979,-0.09738247,-0.23543121,-0.20503922,-0.3098829,0.30897745,-0.13846453,-0.27540722,0.020739894,-0.17560877,0.21556386,0.29087842,0.19311574,0.1268309,-0.2906441,-0.09030582,-0.09830815,0.074398935,0.3017304,0.24156615,0.1650446,-0.098123014,-0.17400931,0.23931035,-0.24028063,0.17778961,0.12406657,0.019927045,0.13724281,0.21976392,0.071135856,0.0093704695,-0.017027898,-0.27358627,0.015089571,0.1582764,0.2262831,-0.07319566,0.26560166,-0.121608436,0.10832221,0.23593698,-0.40814835,-0.18637058,-0.58658123,0.14595659,-0.24855779,-0.114548564,0.14365731,-0.1370778,0.09451953,-0.05129277,-0.048003636,-0.0048790667,-0.08860198,0.041089512,-0.29783276,0.0054361382,-0.11688524,-0.0988935,0.06331553,-0.22845012,0.25911674,-0.29043323,0.13665225,0.10095337,0.17912814,-0.15712069,0.07342983,0.09760114,-0.09307967,-0.044794742,0.14300217,-0.18100381,0.26289365,-0.043996345,0.076101415,0.08822444,0.15680334,0.21125445,-0.063950114,-0.15184157,0.0078112725,-0.14619714
